date,coin_id,price
2024-01-01,bitcoin,42000.00
2024-01-02,bitcoin,43150.00
2024-01-03,bitcoin,44200.00
2024-01-04,bitcoin,43800.00
2024-01-05,bitcoin,45100.00
2024-01-06,bitcoin,46300.00
2024-01-07,bitcoin,45800.00
2024-01-08,bitcoin,47200.00
2024-01-09,bitcoin,46900.00
2024-01-10,bitcoin,48100.00
2024-01-11,bitcoin,49500.00
2024-01-12,bitcoin,48700.00
2024-01-13,bitcoin,50200.00
2024-01-14,bitcoin,51000.00
2024-01-15,bitcoin,52300.00
2024-01-16,bitcoin,51800.00
2024-01-17,bitcoin,53100.00
2024-01-18,bitcoin,54200.00
2024-01-19,bitcoin,53700.00
2024-01-20,bitcoin,55000.00
2024-01-21,bitcoin,56200.00
2024-01-22,bitcoin,55600.00
2024-01-23,bitcoin,57100.00
2024-01-24,bitcoin,58300.00
2024-01-25,bitcoin,57800.00
2024-01-26,bitcoin,59000.00
2024-01-27,bitcoin,60200.00
2024-01-28,bitcoin,61500.00
2024-01-29,bitcoin,62000.00
2024-01-30,bitcoin,63100.00
2024-01-01,ethereum,2200.00
2024-01-02,ethereum,2280.00
2024-01-03,ethereum,2350.00
2024-01-04,ethereum,2310.00
2024-01-05,ethereum,2420.00
2024-01-06,ethereum,2480.00
2024-01-07,ethereum,2450.00
2024-01-08,ethereum,2530.00
2024-01-09,ethereum,2510.00
2024-01-10,ethereum,2590.00
2024-01-11,ethereum,2650.00
2024-01-12,ethereum,2620.00
2024-01-13,ethereum,2700.00
2024-01-14,ethereum,2750.00
2024-01-15,ethereum,2810.00
2024-01-16,ethereum,2790.00
2024-01-17,ethereum,2840.00
2024-01-18,ethereum,2900.00
2024-01-19,ethereum,2870.00
2024-01-20,ethereum,2950.00
2024-01-21,ethereum,3020.00
2024-01-22,ethereum,2990.00
2024-01-23,ethereum,3070.00
2024-01-24,ethereum,3120.00
2024-01-25,ethereum,3090.00
2024-01-26,ethereum,3150.00
2024-01-27,ethereum,3200.00
2024-01-28,ethereum,3260.00
2024-01-29,ethereum,3300.00
2024-01-30,ethereum,3350.00
2024-01-01,litecoin,68.00
2024-01-02,litecoin,70.50
2024-01-03,litecoin,72.00
2024-01-04,litecoin,71.20
2024-01-05,litecoin,73.50
2024-01-06,litecoin,75.00
2024-01-07,litecoin,74.20
2024-01-08,litecoin,76.50
2024-01-09,litecoin,75.80
2024-01-10,litecoin,77.90
2024-01-11,litecoin,79.50
2024-01-12,litecoin,78.70
2024-01-13,litecoin,80.80
2024-01-14,litecoin,82.20
2024-01-15,litecoin,83.60
2024-01-16,litecoin,82.90
2024-01-17,litecoin,84.30
2024-01-18,litecoin,85.80
2024-01-19,litecoin,85.10
2024-01-20,litecoin,86.50
2024-01-21,litecoin,88.00
2024-01-22,litecoin,87.30
2024-01-23,litecoin,89.00
2024-01-24,litecoin,90.40
2024-01-25,litecoin,89.70
2024-01-26,litecoin,91.20
2024-01-27,litecoin,92.60
2024-01-28,litecoin,94.00
2024-01-29,litecoin,93.50
2024-01-30,litecoin,95.00
2024-01-01,dogecoin,0.08
2024-01-02,dogecoin,0.085
2024-01-03,dogecoin,0.090
2024-01-04,dogecoin,0.088
2024-01-05,dogecoin,0.092
2024-01-06,dogecoin,0.095
2024-01-07,dogecoin,0.093
2024-01-08,dogecoin,0.097
2024-01-09,dogecoin,0.096
2024-01-10,dogecoin,0.100
2024-01-11,dogecoin,0.105
2024-01-12,dogecoin,0.102
2024-01-13,dogecoin,0.108
2024-01-14,dogecoin,0.110
2024-01-15,dogecoin,0.113
2024-01-16,dogecoin,0.111
2024-01-17,dogecoin,0.115
2024-01-18,dogecoin,0.118
2024-01-19,dogecoin,0.116
2024-01-20,dogecoin,0.120
2024-01-21,dogecoin,0.123
